,Price
2022-01-02,11.3
2022-01-03,11.3
2022-01-04,11.3
2022-01-05,11.3
2022-01-06,11.3
2022-01-07,11.3
2022-01-08,11.3
2022-01-09,11.3
2022-01-10,11.3
2022-01-11,11.3
2022-01-12,11.3
2022-01-13,11.3
2022-01-14,11.3
2022-01-15,11.3
2022-01-16,11.3
2022-01-17,11.3
2022-01-18,11.3
2022-01-19,11.3
2022-01-20,11.3
2022-01-21,11.3
2022-01-22,11.3
2022-01-23,11.3
2022-01-24,11.3
2022-01-25,11.3
2022-01-26,11.3
2022-01-27,11.3
2022-01-28,11.3
2022-01-29,11.3
2022-01-30,11.3
2022-01-31,11.3
2022-02-01,11.3
2022-02-02,11.3
2022-02-03,11.3
2022-02-04,11.3
2022-02-05,11.3
2022-02-06,11.3
2022-02-07,11.3
2022-02-08,11.3
2022-02-09,11.3
2022-02-10,11.3
2022-02-11,11.3
2022-02-12,11.3
2022-02-13,11.3
2022-02-14,11.3
2022-02-15,11.3
2022-02-16,11.3
2022-02-17,11.3
2022-02-18,11.3
2022-02-19,11.3
2022-02-20,11.3
2022-02-21,11.3
2022-02-22,11.3
2022-02-23,11.3
2022-02-24,11.3
2022-02-25,11.3
2022-02-26,11.3
2022-02-27,11.3
2022-02-28,11.3
2022-03-01,11.3
2022-03-02,11.3
2022-03-03,11.3
2022-03-04,11.3
2022-03-05,11.3
2022-03-06,11.3
2022-03-07,11.3
2022-03-08,11.3
2022-03-09,13.0
2022-03-10,13.0
2022-03-11,13.0
2022-03-12,13.0
2022-03-13,13.0
2022-03-14,13.0
2022-03-15,13.0
2022-03-16,13.0
2022-03-17,13.0
2022-03-18,12.96
2022-03-19,12.94
2022-03-20,12.96
2022-03-21,12.96
2022-03-22,12.96
2022-03-23,12.96
2022-03-24,12.96
2022-03-25,12.96
2022-03-26,12.96
2022-03-27,12.96
2022-03-28,12.96
2022-03-29,12.96
2022-03-30,12.96
2022-03-31,12.96
2022-04-01,12.96
2022-04-02,12.5
2022-04-03,12.5
2022-04-04,12.5
