Day,Price
2001-01-01,2.2
2001-01-02,2.2
2001-01-03,2.2
2001-01-04,2.2
2001-01-05,2.2
2001-01-06,2.2
2001-01-07,2.2
2001-01-08,2.2
2001-01-09,2.2
2001-01-10,2.2
2001-01-11,2.2
2001-01-12,2.2
2001-01-13,2.2
2001-01-14,2.2
2001-01-15,2.2
2001-01-16,2.2
2001-01-17,2.2
2001-01-18,2.2
2001-01-19,2.2
2001-01-20,2.2
2001-01-21,2.2
2001-01-22,2.2
2001-01-23,2.2
2001-01-24,2.2
2001-01-25,2.2
2001-01-26,2.2
2001-01-27,2.2
2001-01-28,2.2
2001-01-29,2.35
2001-01-30,2.35
2001-01-31,2.35
2001-02-01,2.35
2001-02-02,2.35
2001-02-03,2.35
2001-02-04,2.35
2001-02-05,2.35
2001-02-06,2.35
2001-02-07,2.35
2001-02-08,2.35
2001-02-09,2.35
2001-02-10,2.35
2001-02-11,2.35
2001-02-12,2.35
2001-02-13,2.35
2001-02-14,2.35
2001-02-15,2.35
2001-02-16,2.35
2001-02-17,2.35
2001-02-18,2.35
2001-02-19,2.35
2001-02-20,2.35
2001-02-21,2.35
2001-02-22,2.35
2001-02-23,2.35
2001-02-24,2.35
2001-02-25,2.35
2001-02-26,2.35
2001-02-27,2.35
2001-02-28,2.35
2001-03-01,2.35
2001-03-02,2.35
2001-03-03,2.35
2001-03-04,2.35
2001-03-05,2.35
2001-03-06,2.35
2001-03-07,2.35
2001-03-08,2.35
2001-03-09,2.35
2001-03-10,2.35
2001-03-11,2.35
2001-03-12,2.35
2001-03-13,2.35
2001-03-14,2.35
2001-03-15,2.35
2001-03-16,2.35
2001-03-17,2.35
2001-03-18,2.35
2001-03-19,2.35
2001-03-20,2.35
2001-03-21,2.35
2001-03-22,2.35
2001-03-23,2.35
2001-03-24,2.35
2001-03-25,2.35
2001-03-26,2.35
2001-03-27,2.35
2001-03-28,2.35
2001-03-29,2.35
2001-03-30,2.35
2001-03-31,2.35
2001-04-01,2.35
2001-04-02,2.35
2001-04-03,2.35
2001-04-04,2.35
2001-04-05,2.35
2001-04-06,2.35
2001-04-07,2.35
2001-04-08,2.35
2001-04-09,2.35
